66428 - 82750, richelsdorfer-hutte - richelsdorfer-hutte
66446 - 82103, rote-grube - rote-grube
66455 - 84725, rudolph-schacht-huthaus-pferdegopel - rudolph-schacht-huthaus-pferdegopel
66493 - 83938, salomo-fundgrube - salomo-fundgrube
66516 - 81213, schacht-12 - schacht-12
66517 - 81210, schacht-127 - schacht-127
66518 - 83948, schacht-137 - schacht-137
66521 - 80276, schacht-207 - schacht-207
66522 - 84005, schacht-238 - schacht-238
66523 - 80136, schacht-250 - schacht-250
66524 - 84041, schacht-283 - schacht-283
66526 - 81816, schacht-309 - schacht-309
66527 - 80137, schacht-366 - schacht-366
66529 - 80675, schacht-38 - schacht-38
66531 - 81211, schacht-66 - schacht-66
66532 - 81212, schacht-67 - schacht-67
66533 - 81304, schacht-7 - schacht-7
66559 - 84166, schindelbach - schindelbach
66560 - 80135, schindlerschacht - schindlerschacht
66564 - 81473, schlackenhalde-krughutte - schlackenhalde-krughutte
66574 - 80389, schlossbrunnenbruch-epprechtstein - schlossbrunnenbruch-epprechtstein
66584 - 80924, schramberg - schramberg
66587 - 80897, schrotschacht - schrotschacht
66605 - 66606, schwarzach - schwarzach-bei-nabburg
66605 - 66607, schwarzach - schwarzach1
66613 - 66614, schwarzenfeld1 - schwarzenfeld2
66618 - 81324, schonbrunn-grube-ludwig-vereinigt-feld - schonbrunn-grube-ludwig-vereinigt-feld
66631 - 81173, segen-gottes-grube - segen-gottes-grube
66632 - 81237, segen-gottes-und-tafelstein - segen-gottes-und-tafelstein
66635 - 84385, serpentinbruch-zoblitz - serpentinbruch-zoblitz
66642 - 79595, silbergrube-bei-waidhaus - silbergrube-bei-waidhaus
66662 - 88895, spinnweben-am-stolleneingang - schieferstollen
66671 - 80740, st-blasien - st-blasien
66674 - 84889, st-richard-stollen-n-v-ehrenzipfel - st-richard-stollen-n-v-ehrenzipfel
66698 - 80460, stbr-am-lindenberg - stbr-am-lindenberg
66699 - 84709, stbr-an-den-greifensteinen - stbr-an-den-greifensteinen
66703 - 80692, stbr-dechantsees-kalkhausel - stbr-dechantsees-kalkhausel
66705 - 79954, stbr-heiss-stadtsteinach - stbr-heiss-stadtsteinach
66707 - 81712, stbr-karsdorf - stbr-karsdorf
66711 - 80355, stbr-oehrenstock - stbr-oehrenstock
66715 - 82617, stbr-steinhubel-waldhaus - stbr-steinhubel-waldhaus
66717 - 84388, stbr-venusberg - stbr-venusberg
66718 - 80447, stbr-zufurt - stbr-zufurt
66741 - 67471, steinbruch-an-der-kier - steinbruch-stienen
66742 - 82653, steinbruch-an-der-teufelskanzel - steinbruch-an-der-teufelskanzel
66747 - 84400, steinbruch-bei-langenaltheim - steinbruch-bei-langenaltheim
66749 - 80193, steinbruch-bei-niedersachswerfen - steinbruch-bei-niedersachswerfen
67282 - 67283, 6206-157 Peter Scheuer-Stollen - gruben-0543
67417 - 79930, steinbruch-fuchs - steinbruch-fuchs
67428 - 79932, steinbruch-hufgard - steinbruch-hufgard
67447 - 81686, steinbruch-mellenbach-glasbach - steinbruch-mellenbach-glasbach
67460 - 80517, steinbruch-rohden - steinbruch-rohden
67477 - 84387, steinbruch-suss - steinbruch-suss
67510 - 88847, stollen-am-tiefenbac1 - schieferstollen
67513 - 67517, stollen1010 - stollen1022
67513 - 68105, stollen1010 - stollen613
67513 - 68141, stollen1010 - stollen731
67515 - 68147, stollen1012 - stollen752
67525 - 67657, stollen1100 - stollen2100
67525 - 68135, stollen1100 - stollen711
67530 - 67890, stollen1112 - stollen385
67532 - 67833, stollen1122 - stollen3412
67532 - 67909, stollen1122 - stollen4010
67541 - 68168, Schiefergrube - stollen842
67543 - 67612, stollen1212 - stollen174
67554 - 68119, stollen1310 - stollen661
67556 - 67892, stollen1312 - stollen387
67558 - 67752, stollen1322 - stollen2812
67567 - 68155, stollen1410 - stollen792
67569 - 67906, stollen1412 - stollen398
67582 - 67605, stollen1512 - stollen170
67595 - 67945, stollen1612 - stollen425
67597 - 67778, stollen1622 - stollen3012
67610 - 68075, stollen1722 - stollen524
67623 - 68074, stollen1822 - stollen523
67636 - 68072, stollen1922 - stollen5221
67649 - 68070, stollen2022 - stollen5211
67655 - 68161, stollen208 - stollen813
67664 - 68069, stollen2122 - stollen520
67677 - 68068, stollen2222 - stollen519
67687 - 68137, stollen2312 - stollen713
67689 - 68067, stollen2322 - stollen518
67699 - 67923, stollen2411 - stollen4102
67702 - 68066, stollen2422 - stollen517
67715 - 68065, stollen2522 - stollen516
67715 - 68112, stollen2522 - stollen633
67741 - 68063, stollen2722 - stollen514
67754 - 68061, stollen2822 - stollen5131
67765 - 68087, stollen2912 - stollen553
67767 - 68059, stollen2922 - stollen5121
67768 - 67790, stollen293 - stollen3102
67780 - 68057, stollen3022 - stollen5111
67788 - 68145, stollen3100 - stollen742
67793 - 67844, stollen3112 - stollen3510
67793 - 68088, stollen3112 - stollen561
67797 - 68054, stollen3132 - stollen5101
67809 - 68053, stollen3222 - stollen509
67818 - 67926, stollen3310 - stollen4112
67818 - 68085, stollen3310 - stollen551
67818 - 68149, stollen3310 - stollen762
67834 - 68055, stollen3421 - stollen5102
67835 - 68051, stollen3422 - stollen507
67846 - 68133, stollen3512 - stollen703
67848 - 68050, stollen3522 - stollen506
67861 - 68049, stollen3622 - stollen505
67869 - 68102, stollen370 - stollen610
67873 - 68140, stollen3721 - stollen723
67881 - 68178, stollen379 - stollen912
67921 - 68125, stollen4100 - stollen681
67921 - 68180, stollen4100 - stollen922
67924 - 67966, stollen4110 - stollen4412
67924 - 68164, stollen4110 - stollen823
67930 - 67942, stollen4132 - stollen4222
68077 - 68153, stollen526 - stollen782
68094 - 68116, stollen581 - stollen651
68122 - 68143, stollen671 - stollen733
68122 - 68176, stollen671 - stollen910
68151 - 68158, Schiefergrube - Schiefergrube
68191 - 88866, stolleneingang-am-bachlauf - schieferstollen
68198 - 88870, stolleneingang5 - schieferstollen
68206 - 88878, stollen_im_wispertal - schieferstollen
68213 - 80279, stolln-pohla - stolln-pohla
68218 - 80503, strehlenberg - strehlenberg
68220 - 83573, stulln - stulln
68221 - 68222, stulln1 - stulln2
